SourceID,Name,Status,RuleID,FilenamePatternCount,FilenameRegex,FilteredFilenameRegex,Reason,SourceRows
247ithelp.com__connectwise_,247ithelp.com (ConnectWise),Generated,DR-MFT-RMM-001,1,^Remote Workforce Client\.exe$,,,1
absolute__computrace_,Absolute (Computrace),Generated,DR-MFT-RMM-002,5,^ctes\.exe$|^cteshostsvc\.exe$|^ctespersitence\.exe$|^rpcld\.exe$|^rpcnet\.exe$,,,1
acronis_cyber_protect__remotix_,Acronis Cyber Protect (Remotix),Generated,DR-MFT-RMM-004,2,^AcronisCyberProtectConnectAgent\.exe$|^AcronisCyberProtectConnectQuickAssist.*\.exe$,,,1
addigy,Addigy,Excluded,DR-MFT-RMM-219,0,,,No safe Windows filename indicator,1
adobe_connect,Adobe Connect,Generated,DR-MFT-RMM-006,3,^ConnectAppSetup.*\.exe$|^ConnectDetector\.exe$|^ConnectShellSetup.*\.exe$,^Connect\.exe$,Filtered ambiguous or non-specific filename indicators,1
aeroadmin,AeroAdmin,Generated,DR-MFT-RMM-007,1,^AeroAdmin\.exe$,,,1
aliwangwang-remote-control,AliWangWang-remote-control,Generated,DR-MFT-RMM-008,1,^alitask\.exe$,,,1
alpemix,Alpemix,Generated,DR-MFT-RMM-009,1,^AlpemixService\.exe$,,,1
ammyy_admin,Ammyy Admin,Generated,DR-MFT-RMM-220,2,^AMMYY_Admin\.exe$|^aa_v.*\.exe$,,,1
any_support,Any Support,Generated,DR-MFT-RMM-011,1,^ManualLauncher\.exe$,,,1
anyplace_control,Anyplace Control,Generated,DR-MFT-RMM-013,1,^apc_host\.exe$,,,1
apple_remote_desktop,Apple Remote Desktop,Excluded,DR-MFT-RMM-221,0,,,No safe Windows filename indicator,1
aspia,Aspia,Generated,DR-MFT-RMM-222,1,^aspia_client\.exe$,,,1
atera,Atera,Generated,DR-MFT-RMM-015,5,^AgentPackageNetworkDiscovery\.exe$|^AgentPackageTaskScheduler\.exe$|^AteraAgent\.exe$|^atera_agent\.exe$|^syncrosetup\.exe$,,,1
auvik,Auvik,Generated,DR-MFT-RMM-016,2,^auvik\.agent\.exe$|^auvik\.engine\.exe$,,,1
aweray,AweRay,Generated,DR-MFT-RMM-017,2,^AweSun\.exe$|^aweray_remote.*\.exe$,,,1
baramundi_management_suite,baramundi Management Suite,Excluded,DR-MFT-RMM-223,0,,,No safe Windows filename indicator,1
barracuda,Barracuda,Excluded,DR-MFT-RMM-224,0,,,No safe Windows filename indicator,1
basecamp,Basecamp,Excluded,DR-MFT-RMM-225,0,,,No safe Windows filename indicator,1
beamyourscreen,BeamYourScreen,Generated,DR-MFT-RMM-020,2,^beamyourscreen-host\.exe$|^beamyourscreen\.exe$,,,1
beanywhere,BeAnyWhere,Generated,DR-MFT-RMM-226,8,^BASupAppElev\.exe$|^BASupAppSrvc\.exe$|^BASupApp\.exe$|^BASupSysInf\.exe$|^TakeControl\.exe$|^basupsrvc\.exe$|^basupsrvcupdate\.exe$|^basuptshelper\.exe$,,,1
beinsync,BeInSync,Generated,DR-MFT-RMM-022,1,^Beinsync.*\.exe$,,,1
