SourceID,RuleID
247ithelp.com__connectwise_,DR-MFT-RMM-001
absolute__computrace_,DR-MFT-RMM-002
access_remote_pc,DR-MFT-RMM-003
acronis_cyber_protect__remotix_,DR-MFT-RMM-004
action1,DR-MFT-RMM-005
addigy,DR-MFT-RMM-219
adobe_connect,DR-MFT-RMM-006
aeroadmin,DR-MFT-RMM-007
aliwangwang-remote-control,DR-MFT-RMM-008
alpemix,DR-MFT-RMM-009
ammyy_admin,DR-MFT-RMM-220
any_support,DR-MFT-RMM-011
anydesk,DR-MFT-RMM-012
anyplace_control,DR-MFT-RMM-013
anyviewer,DR-MFT-RMM-014
apple_remote_desktop,DR-MFT-RMM-221
aspia,DR-MFT-RMM-222
atera,DR-MFT-RMM-015
auvik,DR-MFT-RMM-016
aweray,DR-MFT-RMM-017
baramundi_management_suite,DR-MFT-RMM-223
barracuda,DR-MFT-RMM-224
basecamp,DR-MFT-RMM-225
beamyourscreen,DR-MFT-RMM-020
beanywhere,DR-MFT-RMM-226
beinsync,DR-MFT-RMM-022
beyondtrust,DR-MFT-RMM-227
beyondtrust__bomgar_,DR-MFT-RMM-023
bitvise_ssh_client,DR-MFT-RMM-024
bitvise_ssh_server,DR-MFT-RMM-228
bluetrait,DR-MFT-RMM-229
centrastage__now_datto_,DR-MFT-RMM-026
centurion,DR-MFT-RMM-027
chicken__of_the_vnc_,DR-MFT-RMM-230
chrome_remote_desktop,DR-MFT-RMM-028
chrome_ssh_extension,DR-MFT-RMM-231
cloudflare_tunnel,DR-MFT-RMM-029
comodo_rmm,DR-MFT-RMM-232
connectwise,DR-MFT-RMM-233
connectwise_automate__labtech_,DR-MFT-RMM-031
connectwise_control,DR-MFT-RMM-032
controlio,DR-MFT-RMM-234
controlr,DR-MFT-RMM-353
crossloop,DR-MFT-RMM-033
crosstec_remote_control,DR-MFT-RMM-034
cruzcontrol,DR-MFT-RMM-235
dameware,DR-MFT-RMM-036
dataplicity,DR-MFT-RMM-236
deskday,DR-MFT-RMM-037
desknets,DR-MFT-RMM-237
deskshare,DR-MFT-RMM-038
desktopnow,DR-MFT-RMM-039
dev_tunnels__aka_visual_studio_dev_tunnel_,DR-MFT-RMM-238
devolutions_remote_desktop_manager,DR-MFT-RMM-239
distant_desktop,DR-MFT-RMM-040
domotz,DR-MFT-RMM-041
dragondisk,DR-MFT-RMM-042
duet_display,DR-MFT-RMM-240
duplicati,DR-MFT-RMM-043
dw_service,DR-MFT-RMM-044
echoware,DR-MFT-RMM-045
ehorus,DR-MFT-RMM-046
electric_ai__kaseya_,DR-MFT-RMM-241
emco_remote_console,DR-MFT-RMM-048
encapto,DR-MFT-RMM-242
ericom_accessnow,DR-MFT-RMM-243
ericom_connect,DR-MFT-RMM-244
eset_remote_administrator,DR-MFT-RMM-245
extraputty,DR-MFT-RMM-053
ezhelp,DR-MFT-RMM-054
faronics_core,DR-MFT-RMM-246
faronics_deep_freeze,DR-MFT-RMM-247
faronics_deploy,DR-MFT-RMM-248
faronics_insight,DR-MFT-RMM-249
fastviewer,DR-MFT-RMM-055
fixme.it,DR-MFT-RMM-250
fleetdeck.io,DR-MFT-RMM-251
fortra,DR-MFT-RMM-252
free_ping_tool,DR-MFT-RMM-253
free_tools_launcher,DR-MFT-RMM-254
freenx,DR-MFT-RMM-059
freerdp,DR-MFT-RMM-255
freshservice,DR-MFT-RMM-256
gatherplace-desktop_sharing,DR-MFT-RMM-060
getscreen,DR-MFT-RMM-061
glpi_agent,DR-MFT-RMM-257
gorelo_rmm,DR-MFT-RMM-258
goto_opener,DR-MFT-RMM-259
gotoassist,DR-MFT-RMM-062
gotoassist__goto_resolve_,DR-MFT-RMM-260
gotoassist_agent_desktop_console,DR-MFT-RMM-063
gotohttp,DR-MFT-RMM-064
gotomypc,DR-MFT-RMM-261
goverlan,DR-MFT-RMM-067
guacamole,DR-MFT-RMM-068
heartbeatrm,DR-MFT-RMM-262
helpbeam,DR-MFT-RMM-069
helpu,DR-MFT-RMM-070
helpwire,DR-MFT-RMM-263
hoptodesk,DR-MFT-RMM-264
i,DR-MFT-RMM-071
i'm_intouch,DR-MFT-RMM-265
idrive,DR-MFT-RMM-266
immybot,DR-MFT-RMM-267
impero_connect,DR-MFT-RMM-072
instant_housecall,DR-MFT-RMM-073
insync,DR-MFT-RMM-074
intelliadmin_remote_control,DR-MFT-RMM-075
invgate,DR-MFT-RMM-268
iperius_remote,DR-MFT-RMM-076
isl_light,DR-MFT-RMM-269
isl_online,DR-MFT-RMM-077
itarian,DR-MFT-RMM-078
itsupport247__connectwise_,DR-MFT-RMM-079
ivanti_remote_control,DR-MFT-RMM-080
jollysfastvnc,DR-MFT-RMM-270
jump_cloud,DR-MFT-RMM-081
jump_desktop,DR-MFT-RMM-082
kabuto,DR-MFT-RMM-084
kaseya__vsa_,DR-MFT-RMM-085
khelpdesk,DR-MFT-RMM-271
kickidler,DR-MFT-RMM-086
kitty,DR-MFT-RMM-087
komari,DR-MFT-RMM-272
koofr,DR-MFT-RMM-273
labteach__connectwise_automate_,DR-MFT-RMM-274
labtech_rmm__now_connectwise_automate_,DR-MFT-RMM-275
landesk,DR-MFT-RMM-088
laplink_everywhere,DR-MFT-RMM-089
laplink_gold,DR-MFT-RMM-090
level,DR-MFT-RMM-091
level.io,DR-MFT-RMM-276
lite_manager,DR-MFT-RMM-277
litemanager,DR-MFT-RMM-092
localxpose,DR-MFT-RMM-278
logmein,DR-MFT-RMM-279
logmein_rescue,DR-MFT-RMM-094
lunixar,DR-MFT-RMM-280
manage_engine__desktop_central_,DR-MFT-RMM-095
manageengine,DR-MFT-RMM-281
manageengine_rmm_central,DR-MFT-RMM-282
manageengine_servicedesk_plus,DR-MFT-RMM-283
megasync,DR-MFT-RMM-096
meshcentral,DR-MFT-RMM-097
microsoft_quick_assist,DR-MFT-RMM-098
mikogo,DR-MFT-RMM-100
mionet__also_known_as_wd_anywhere_access_,DR-MFT-RMM-101
mionet__wd_anywhere_access_,DR-MFT-RMM-284
miradore,DR-MFT-RMM-285
mobaxterm,DR-MFT-RMM-102
mocha_vnc_lite,DR-MFT-RMM-286
monitic,DR-MFT-RMM-287
mouse_without_borders,DR-MFT-RMM-288
mremoteng,DR-MFT-RMM-103
msp360,DR-MFT-RMM-104
mstsc.exe__microsoft_remote_desktop_connection_,DR-MFT-RMM-289
multcloud,DR-MFT-RMM-290
mygreenpc,DR-MFT-RMM-105
myivo,DR-MFT-RMM-106
n-able_advanced_monitoring_agent,DR-MFT-RMM-108
n-able_remote_access_software,DR-MFT-RMM-291
nateon-desktop_sharing,DR-MFT-RMM-109
naverisk,DR-MFT-RMM-107
net_monitor_for_employees,DR-MFT-RMM-292
netbird,DR-MFT-RMM-293
netlock_rmm,DR-MFT-RMM-294
netop,DR-MFT-RMM-295
netop_remote_control__aka_impero_connect_,DR-MFT-RMM-110
netop_remote_control__impero_connect_,DR-MFT-RMM-296
netreo,DR-MFT-RMM-297
netsupport_manager,DR-MFT-RMM-111
neturo,DR-MFT-RMM-112
netviewer,DR-MFT-RMM-113
netviewer__gotomeet_,DR-MFT-RMM-298
nezha,DR-MFT-RMM-299
ngrok,DR-MFT-RMM-349
ninite_pro__ninite_agent_,DR-MFT-RMM-300
ninjaone__formerly_ninjarmm_,DR-MFT-RMM-301
ninjarmm,DR-MFT-RMM-114
nomachine,DR-MFT-RMM-115
nordlocker,DR-MFT-RMM-302
noteon-desktop_sharing,DR-MFT-RMM-303
ntr_remote,DR-MFT-RMM-116
nvda__non-visual_desktop_access_,DR-MFT-RMM-304
ocs_inventory,DR-MFT-RMM-117
onionshare,DR-MFT-RMM-118
optitune,DR-MFT-RMM-119
pandora_rc__ehorus_,DR-MFT-RMM-120
panorama9,DR-MFT-RMM-122
parallels_access,DR-MFT-RMM-123
parsec,DR-MFT-RMM-305
pcanywhere,DR-MFT-RMM-125
pchelpware,DR-MFT-RMM-306
pcnow,DR-MFT-RMM-126
pcvisit,DR-MFT-RMM-127
pdq_connect,DR-MFT-RMM-128
pilixo,DR-MFT-RMM-129
pitunnel,DR-MFT-RMM-307
pocket_cloud__wyse_,DR-MFT-RMM-130
pocket_controller,DR-MFT-RMM-131
pocket_controller__soti_xsight_,DR-MFT-RMM-308
psexec,DR-MFT-RMM-309
psexec__clone_,DR-MFT-RMM-132
pulseway,DR-MFT-RMM-133
putty,DR-MFT-RMM-310
putty_tray,DR-MFT-RMM-134
qq_im-remote_assistance,DR-MFT-RMM-135
quest_kace_agent__formerly_dell_kace_,DR-MFT-RMM-136
quick_assist,DR-MFT-RMM-311
radmin,DR-MFT-RMM-137
rapid7,DR-MFT-RMM-312
rdclient,DR-MFT-RMM-313
rdcman,DR-MFT-RMM-314
rdp2tcp,DR-MFT-RMM-138
rdpview,DR-MFT-RMM-139
rdpwrap,DR-MFT-RMM-140
realvnc,DR-MFT-RMM-315
remcos,DR-MFT-RMM-144
remmina,DR-MFT-RMM-316
remmon,DR-MFT-RMM-317
remobo,DR-MFT-RMM-145
remote.it,DR-MFT-RMM-318
remote_desktop_manager__devolutions_,DR-MFT-RMM-319
remote_desktop_plus,DR-MFT-RMM-146
remote_manipulator_system,DR-MFT-RMM-148
remote_ripple,DR-MFT-RMM-320
remote_utilities,DR-MFT-RMM-149
remotecall,DR-MFT-RMM-150
remotely,DR-MFT-RMM-321
remotepass,DR-MFT-RMM-151
remotepc,DR-MFT-RMM-152
remotepulse,DR-MFT-RMM-322
remoteutilities,DR-MFT-RMM-323
remoteview,DR-MFT-RMM-153
remsupp,DR-MFT-RMM-324
res_automation_manager,DR-MFT-RMM-154
rocket_remote_desktop,DR-MFT-RMM-155
rodex_rmm,DR-MFT-RMM-325
royal_apps,DR-MFT-RMM-156
royal_server,DR-MFT-RMM-157
royal_ts,DR-MFT-RMM-158
rport,DR-MFT-RMM-159
rudesktop,DR-MFT-RMM-161
runsmart,DR-MFT-RMM-326
rustdesk,DR-MFT-RMM-163
s3_browser,DR-MFT-RMM-164
screenconnect,DR-MFT-RMM-165
screenmeet,DR-MFT-RMM-166
securecrt,DR-MFT-RMM-167
seetrol,DR-MFT-RMM-168
senso.cloud,DR-MFT-RMM-169
servereye,DR-MFT-RMM-170
shellhub,DR-MFT-RMM-327
showmypc,DR-MFT-RMM-172
simplehelp,DR-MFT-RMM-173
site24x7,DR-MFT-RMM-174
skyfex,DR-MFT-RMM-171
smartcode_web_vnc,DR-MFT-RMM-328
smartftp,DR-MFT-RMM-329
smartty,DR-MFT-RMM-176
solar-putty,DR-MFT-RMM-177
