RuleID,CaseID,Artifact,EntryType,FileName,OSPath,Verified,AdditionalRuleIDs
DR-MFT-ARCH-001,COVERAGE-DR-MFT-ARCH-001,Amcache,File,WinRAR.exe,C:\Replay\WinRAR.exe,True,
DR-MFT-ARCH-002,COVERAGE-DR-MFT-ARCH-002,MFT,File,WinRAR.exe,C:\Users\,True,
DR-MFT-ARCH-003,COVERAGE-DR-MFT-ARCH-003,MFT,File,WinRAR.exe,C:\Windows\Temp\,True,
DR-MFT-TOOL-001,COVERAGE-DR-MFT-TOOL-001,MFT,File,ADCollector.exe,C:\Replay\ADCollector.exe,True,
DR-MFT-TOOL-002,COVERAGE-DR-MFT-TOOL-002,MFT,File,ADPassHunt.exe,C:\Replay\ADPassHunt.exe,True,
DR-MFT-TOOL-003,COVERAGE-DR-MFT-TOOL-003,MFT,File,PowerTool.exe,C:\Replay\PowerTool.exe,True,
DR-MFT-TOOL-004,COVERAGE-DR-MFT-TOOL-004,MFT,File,apollo.exe,C:\Replay\apollo.exe,True,
DR-MFT-TOOL-005,COVERAGE-DR-MFT-TOOL-005,MFT,File,certipy.exe,C:\Replay\certipy.exe,True,
DR-MFT-TOOL-006,COVERAGE-DR-MFT-TOOL-006,MFT,File,crackmapexec.exe,C:\Replay\crackmapexec.exe,True,
DR-MFT-TOOL-007,COVERAGE-DR-MFT-TOOL-007,MFT,File,DeadPotato.exe,C:\Replay\DeadPotato.exe,True,
DR-MFT-TOOL-008,COVERAGE-DR-MFT-TOOL-008,MFT,File,DefenderControl.exe,C:\Replay\DefenderControl.exe,True,DR-MFT-EVA-001
DR-MFT-TOOL-009,COVERAGE-DR-MFT-TOOL-009,MFT,File,Direct HTTP Tunnel.exe,C:\Replay\Direct HTTP Tunnel.exe,True,
DR-MFT-TOOL-010,COVERAGE-DR-MFT-TOOL-010,MFT,File,DomainPasswordSpray.ps1,C:\Replay\DomainPasswordSpray.ps1,True,
DR-MFT-TOOL-011,COVERAGE-DR-MFT-TOOL-011,MFT,File,dncat.exe,C:\Replay\dncat.exe,True,
DR-MFT-TOOL-012,COVERAGE-DR-MFT-TOOL-012,MFT,File,GadgetToJScript.exe,C:\Replay\GadgetToJScript.exe,True,
DR-MFT-TOOL-013,COVERAGE-DR-MFT-TOOL-013,MFT,File,GetShell.exe,C:\Replay\GetShell.exe,True,
DR-MFT-TOOL-014,COVERAGE-DR-MFT-TOOL-014,MFT,File,gobuster.exe,C:\Replay\gobuster.exe,True,
DR-MFT-TOOL-015,COVERAGE-DR-MFT-TOOL-015,MFT,File,hashcat.exe,C:\Replay\hashcat.exe,True,
DR-MFT-TOOL-016,COVERAGE-DR-MFT-TOOL-016,MFT,File,Intercepter-NG.exe,C:\Replay\Intercepter-NG.exe,True,
DR-MFT-TOOL-017,COVERAGE-DR-MFT-TOOL-017,MFT,File,Inveigh.exe,C:\Replay\Inveigh.exe,True,
DR-MFT-TOOL-018,COVERAGE-DR-MFT-TOOL-018,MFT,File,john.exe,C:\Replay\john.exe,True,
DR-MFT-TOOL-019,COVERAGE-DR-MFT-TOOL-019,MFT,File,msf.exe,C:\Replay\msf.exe,True,
DR-MFT-TOOL-020,COVERAGE-DR-MFT-TOOL-020,MFT,File,nuclei.exe,C:\Replay\nuclei.exe,True,
DR-MFT-TOOL-021,COVERAGE-DR-MFT-TOOL-021,MFT,File,nxc.exe,C:\Replay\nxc.exe,True,
DR-MFT-TOOL-022,COVERAGE-DR-MFT-TOOL-022,MFT,File,ophcrack.exe,C:\Replay\ophcrack.exe,True,
