DllName,Vendor,ExpectedLocation,ExecutablePath,Type,ExecutableSHA256,Url
aclui.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\shrpubw\.exe|\\Program Files( \(x86\))?\\Windows Kits\\10\\bin\\[^\\]+\\x86\\oleview\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/aclui.html
acrodistdll.dll,Adobe,\\Program Files( \(x86\))?\\Adobe\\Acrobat [^\\]+\\Acrobat,\\Program Files( \(x86\))?\\Adobe\\Acrobat [^\\]+\\Acrobat\\AcroDist\.exe,Sideloading,01b68a0c13032bb59f262ed94d2daf85e50fad7a1502a3097029b66b7eb4f903,https://hijacklibs.net/entries/3rd_party/adobe/acrodistdll.html
activeds.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\applysettingstemplatecatalog\.exe|\\Windows\\System32\\agentservice\.exe|\\Windows\\System32\\dsadd\.exe|\\Windows\\System32\\dsget\.exe|\\Windows\\System32\\dsmod\.exe|\\Windows\\System32\\dsrm\.exe|\\Windows\\System32\\gpfixup\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/activeds.html
adsldpc.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\agentservice\.exe|\\Windows\\System32\\netsh\.exe|\\Windows\\System32\\sppextcomobj\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/adsldpc.html
aepic.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\psr\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/aepic.html
amindpdfcore.dll,AmindPDF,\\Program Files( \(x86\))?\\GeekerPDF\\GeekerPDF,\\Program Files( \(x86\))?\\GeekerPDF\\GeekerPDF\\GeekerPDF\.exe,Sideloading,107ba73ae05ec6ba6d814665923191f14757015557eeeff16206cc957da29be3,https://hijacklibs.net/entries/3rd_party/amindpdf/amindpdfcore.html
apphelp.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\compmgmtlauncher\.exe|\\Windows\\System32\\sdbinst\.exe|\\Windows\\explorer\.exe,Sideloading|Search Order,,https://hijacklibs.net/entries/microsoft/built-in/apphelp.html
appvisvsubsystems64.dll,Microsoft,\\Program Files( \(x86\))?\\Common Files\\microsoft shared\\ClickToRun|\\Program Files( \(x86\))?\\Common Files\\microsoft shared\\ClickToRun\\Updates\\[^\\]+|\\Program Files( \(x86\))?\\Microsoft Office\\root\\Client|\\Program Files( \(x86\))?\\Microsoft Office\\root\\Office[^\\]+|\\Program Files( \(x86\))?\\Microsoft Office\\root\\vfs\\ProgramFilesCommonX64\\Microsoft Shared\\Office[^\\]+,\\Program Files( \(x86\))?\\Microsoft Office\\root\\Office[^\\]+\\winword\.exe|\\Program Files( \(x86\))?\\Microsoft Office\\root\\Office[^\\]+\\powerpnt\.exe,Sideloading,"341ba8a556f4ac503ab23d9e5d2114261afd24aed332f2e404705b522afd5998, 6c55195f025fb895f9d0ec3edbf58bc0aa46c43eeb246cfb88eef1ae051171b3|420d20cddfaada4e96824a9184ac695800764961bad7654a6a6c3fe9b1b74b9a",https://hijacklibs.net/entries/microsoft/external/appvisvsubsystems64.html
appvpolicy.dll,Microsoft,\\Windows\\System32|\\Program Files( \(x86\))?\\Common Files\\Microsoft Shared\\ClickToRun,\\Windows\\System32\\appvclient\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/appvpolicy.html
appwiz.cpl,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\fondue\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/appwiz.html
appxalluserstore.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\lpremove\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/appxalluserstore.html
appxdeploymentclient.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\lpremove\.exe|\\Windows\\System32\\systemsettingsadminflows\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/appxdeploymentclient.html
archiveint.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\tar\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/archiveint.html
asfbncor.dll,Radioactive,\\Program Files( \(x86\))?\\Replay Media Splitter,\\Program Files( \(x86\))?\\Replay Media Splitter\\ReplayMediaSplitter\.exe,Sideloading,74b86605a3a2100a9c80bfabc84d22f69b2123ae0a942a1b9a3c4ed050186e0c,https://hijacklibs.net/entries/3rd_party/radioactive/asfbncor.html
ashldres.dll,McAfee,\\Program Files( \(x86\))?\\McAfee\.com\\VSO,mcvsshld\.exe,Sideloading,4512d852cad65ab6bee423619ed32188e444ee5518f51adc5502961724af62e7,https://hijacklibs.net/entries/3rd_party/mcafee/ashldres.html
asio.dll,Asus,\\Program Files( \(x86\))?\\ASUS\\AXSP\\[^\\]+,\\Program Files( \(x86\))?\\ASUS\\AXSP\\4\.02\.12\\atkexComSvc\.exe,Sideloading,12c22ba646232d5d5087d0300d5cfd46fed424f26143a02dc866f1bfceab3c10,https://hijacklibs.net/entries/3rd_party/asus/asio.html
asus_wmi.dll,Asus,\\Program Files( \(x86\))?\\ASUS\\AXSP\\[^\\]+,\\Program Files( \(x86\))?\\ASUS\\AXSP\\[^\\]+\\atkexComSvc\.exe,Sideloading,12c22ba646232d5d5087d0300d5cfd46fed424f26143a02dc866f1bfceab3c10,https://hijacklibs.net/entries/3rd_party/asus/asus_wmi.html
atl.dll,Microsoft,\\Windows\\System32|\\Windows\\SysWOW64,\\Windows\\System32\\dsquery\.exe|\\Windows\\System32\\filescrn\.exe|\\Windows\\System32\\msconfig\.exe|\\Windows\\System32\\msdt\.exe|\\Windows\\System32\\msinfo32\.exe|\\Windows\\System32\\perfmon\.exe|\\Windows\\System32\\quickassist\.exe|\\Windows\\System32\\storrept\.exe|\\Windows\\System32\\vds\.exe|\\Windows\\System32\\vdsldr\.exe|\\Windows\\System32\\vssadmin\.exe|\\Windows\\System32\\wfs\.exe,Sideloading,,https://hijacklibs.net/entries/microsoft/built-in/atl.html
atl71.dll,Xunlei,\\Program Files( \(x86\))?\\Common Files\\Thunder Network\\TP\\[^\\]+,\\Program Files( \(x86\))?\\Common Files\\Thunder Network\\TP\\[^\\]+\\XLBugReport\.exe,Sideloading,64f8d68cc1cfc5b9cc182df3becf704af93d0f1cc93ee59dbf682c75b6d4ffc0,https://hijacklibs.net/entries/3rd_party/xunlei/atl71.html
