Name,Description,LolRMMLink,PathRegex,DomainRegex
RAdmin,"RAdmin is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.
",https://lolrmm.io/tools/radmin,C:\\Program Files \(x86\)\\Radmin Viewer 3\\Radmin\.exe$|C:\\Windows\\SysWOW64\\rserver30\\FamItrf2|C:\\Windows\\SysWOW64\\rserver30\\FamItrfc|C:\\Windows\\SysWOW64\\rserver30\\rserver3\.exe$,radmin\.com$
SunLogin,SunLogin is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/sunlogin,^OrayRemoteService\.exe$|^OrayRemoteShell\.exe$|^sunlogin.*\.exe$,client\.oray\.net$|sunlogin\.oray\.com$
WebEx (Remote Access),WebEx (Remote Access) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/webex__remote_access_,,
MyIVO,MyIVO is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/myivo,^myivomanager\.exe$|^myivomgr\.exe$,myivo-server\.software\.informer\.com$
Level.io,Level.io is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/level.io,^level-remote-control-ffmpeg\.exe$|^level-windows-amd64\.exe$|^level\.exe$,.*\.level\.io$|level\.io$
BeAnyWhere,BeAnyWhere is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/beanywhere,^BASupAppElev\.exe$|^BASupAppSrvc\.exe$|^BASupApp\.exe$|^BASupSysInf\.exe$|^TakeControl\.exe$|^basupsrvc\.exe$|^basupsrvcupdate\.exe$|^basuptshelper\.exe$,beanywhere\.com$|beanywhere\.en\.uptodown\.com/windows$
Remote Ripple,"Remote Ripple is a free VNC viewer client developed by GlavSoft (the creators of TightVNC) for remote desktop access and control. It is a modern, lightweight viewer based on TightVNC technology that allows users to remotely access and control.
",https://lolrmm.io/tools/remote_ripple,C:\\Program Files \(x86\)\\Remote Ripple\\.*|C:\\Program Files\\Remote Ripple\\.*|^RemoteRipple\.exe$,
OptiTune,OptiTune is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/optitune,^OTPowerShell\.exe$|^OTService\.exe$,.*\.opti-tune\.com$|.*\.optitune\.us$
RdClient,"RdClient is a slim remote desktop client for the protocols RDP, VNC and Hyper-V. It manages remote desktops in a tree view similar to the Windows Explorer.
",https://lolrmm.io/tools/rdclient,C:\\Program Files \(x86\)\\RdClient\\.*|C:\\Program Files\\RdClient\\.*|^RdClientInstaller\.exe$|^SupportTool\.exe$|^rdclient\.exe$,
Kaseya (VSA),Kaseya (VSA) aka Unigma is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,https://lolrmm.io/tools/kaseya__vsa_,C:\\Program Files \(x86\)\\Kaseya\\|C:\\ProgramData\\Kaseya\\,.*\.kaseya\.net$|.*managedsupport\.kaseya\.net$|deploy01\.kaseya\.com$|kaseya\.com$
